date,American (Traditional),Chinese,Indian,Italian,Japanese,Latin American,Mediterranean,Mexican,Middle Eastern,Thai
100,9348,2449,399,4887,2648,461,1394,5806,531,1144
101,10288,3226,570,6319,3515,612,1732,6677,634,1584
102,8522,2725,548,5049,3000,449,1395,5224,484,1404
103,5493,1532,380,2731,1960,261,800,3131,295,752
104,3013,527,119,1073,703,97,297,1503,108,168
105,1774,116,24,296,262,34,111,669,54,40
106,839,64,10,122,107,13,57,384,35,25
107,470,37,7,82,40,3,39,213,21,12
108,238,16,2,51,12,2,20,134,12,9
109,121,10,1,33,13,1,12,51,6,3
110,54,4,2,16,3,2,5,28,1,1
111,55,7,0,8,4,0,5,36,0,2
112,122,15,1,23,10,2,10,49,3,2
113,489,30,7,76,15,13,29,195,8,10
114,988,53,7,153,42,9,72,358,11,18
115,1670,39,4,175,49,16,105,534,13,21
116,2242,71,8,187,56,20,132,645,14,27
117,2727,208,20,423,116,42,246,1091,75,54
118,6004,1607,232,2312,1393,250,1906,4595,585,1038
119,8857,2485,410,3787,2362,451,3353,7266,993,1593
120,4931,1576,292,2279,1425,318,1654,4496,580,958
121,3355,893,112,1398,829,207,897,2760,319,503
122,2838,690,45,1243,711,131,686,2175,232,314
123,3904,889,75,1721,953,196,701,2653,276,364
200,7308,1714,254,3444,2224,304,1415,4501,500,939
201,9810,2428,402,5285,3414,473,1995,6499,693,1421
202,8267,2265,375,5023,2990,408,1776,5498,638,1397
203,5058,1312,303,3053,1730,270,958,3266,327,729
204,2947,451,121,1218,719,99,360,1543,131,168
205,1638,102,13,395,291,25,119,696,52,31
206,808,50,7,148,98,14,82,378,39,21
207,410,23,2,85,44,6,38,214,17,12
208,187,18,4,46,17,6,24,148,5,4
209,89,13,3,29,4,0,10,44,3,2
210,46,5,0,12,8,0,5,26,2,0
211,59,9,1,12,4,0,2,20,0,0
212,139,12,4,33,7,2,9,64,1,4
213,529,49,2,86,16,7,30,188,8,9
214,1092,48,10,138,44,7,82,444,7,22
215,1651,49,8,192,47,16,118,526,11,12
216,1862,62,10,220,54,30,125,623,16,24
217,2076,169,24,342,117,55,268,1144,93,74
218,6140,1749,318,2634,1790,371,2071,6355,724,1225
219,8906,2539,518,4164,2876,697,3522,9504,995,1936
220,4481,1501,278,2157,1457,336,1600,4701,531,923
221,2640,861,112,1244,687,164,812,2680,320,476
222,2485,617,66,1073,616,138,569,2328,226,268
223,3946,860,91,1838,905,227,728,3356,261,396
300,8488,1660,272,3949,2514,454,1460,6938,491,927
301,11172,2523,493,5867,3801,753,2265,9440,822,1534
302,9342,2379,499,5730,3290,681,2009,8449,740,1643
303,6138,1433,337,3708,1985,386,1053,5080,354,845
304,3585,463,141,1567,826,142,376,2311,124,174
305,1852,107,22,496,251,40,138,912,52,47
306,947,48,7,179,111,13,54,431,28,18
307,512,31,7,101,38,10,32,242,10,6
308,247,15,2,64,23,5,26,113,6,7
309,104,12,0,28,9,0,11,60,4,1
310,63,1,1,10,2,0,7,31,3,3
311,74,8,0,9,3,3,5,39,3,1
312,140,20,1,30,11,1,11,70,0,3
313,688,29,3,94,22,10,33,200,3,13
314,1262,67,9,178,41,15,115,467,14,15
315,1729,55,8,197,42,17,113,542,15,23
316,1983,61,12,262,62,29,144,661,21,34
317,2160,192,24,366,131,40,296,1063,112,58
318,6290,1916,368,3164,1762,378,2242,5412,747,1337
319,9539,2694,588,4426,2903,639,3556,8500,1154,1877
320,4832,1510,318,2383,1573,360,1813,4573,667,1002
321,2776,890,121,1276,740,175,833,2556,349,414
322,2731,674,71,1112,660,153,652,2021,217,291
323,4369,1049,90,1911,1066,221,686,2854,269,361
400,9157,1898,328,4248,2719,433,1474,5713,536,1048
401,12179,2895,575,6583,4098,769,2394,8312,822,1577
402,10542,2722,539,5984,3709,739,2135,7230,774,1621
403,6831,1575,340,3437,2190,394,1142,4308,411,951
404,4036,499,128,1368,931,129,430,2070,122,203
405,2055,94,14,377,359,44,152,801,75,49
406,1100,63,8,157,118,20,66,475,36,25
407,575,35,9,90,48,6,39,272,12,11
408,267,11,4,66,18,5,33,155,19,12
409,115,10,4,33,15,3,14,73,7,6
410,45,4,1,13,6,0,3,31,1,3
411,54,9,0,16,8,2,6,21,2,5
412,193,25,1,51,15,2,12,73,0,6
413,557,39,2,104,23,8,31,215,6,6
414,1232,57,9,180,44,11,116,495,11,13
415,1787,51,6,156,62,13,129,609,15,27
416,2049,68,6,212,59,31,131,707,27,25
417,2261,193,23,360,122,56,297,1190,115,67
418,6861,1902,295,3056,1921,389,2235,6009,780,1380
419,10069,2677,601,4418,2999,664,3564,8828,1068,1857
420,5088,1568,345,2437,1578,339,1758,4687,651,1000
421,2996,850,136,1403,771,184,917,2691,320,474
422,2903,707,55,1168,679,157,663,2298,221,268
423,4930,868,96,1917,1089,213,770,3013,267,401
500,10262,1873,325,4377,2780,528,1569,6140,551,955
501,13554,3089,513,6619,4496,722,2384,8498,820,1738
502,11762,2784,567,6317,4045,715,2146,7809,746,1678
503,7913,1745,361,3956,2507,460,1254,4848,405,1024
504,4839,609,144,1593,1115,161,560,2400,180,225
505,2856,134,34,482,387,58,170,1107,73,57
506,1512,57,9,176,125,23,95,639,48,21
507,786,40,6,104,37,8,41,427,22,13
508,351,16,3,66,23,8,27,203,12,2
509,139,12,1,32,14,0,20,99,6,0
510,62,12,3,15,9,2,2,58,2,3
511,60,6,0,15,2,1,6,33,3,1
512,161,17,3,46,13,4,7,92,2,5
513,614,35,5,92,23,7,35,240,8,16
514,1490,60,7,198,51,19,102,525,7,23
515,2256,55,5,211,47,22,126,747,10,11
516,2706,81,9,244,57,37,180,853,20,22
517,3065,214,23,468,159,53,334,1337,112,66
518,8226,2124,451,3287,2241,457,2173,6319,731,1370
519,12645,3096,740,5294,3623,843,3724,10403,1140,1989
520,6830,1811,489,3043,1925,471,1932,5888,687,1104
